TIMESTAMP,AirTemperature_Min,AirTemperature_Max,AirTemperature_Avg,Rain_Tot,WindRun_Tot,SolarEnergy_Tot
20/01/2016 8:00,15.45,24.7,19.27,0,3459,10.45
21/01/2016 8:00,16.94,25.38,20.73,0,5442,13.88
22/01/2016 8:00,16.81,26.46,21.24,0,7999,15.6
23/01/2016 8:00,13.58,27.69,20.39,0,7999,NAN
24/01/2016 8:00,14.33,29.69,21.74,0,7999,NAN
25/01/2016 8:00,16.5,30.37,23.05,0,4378,NAN
26/01/2016 8:00,16.91,27.52,22.7,0,7869,NAN
27/01/2016 8:00,21.18,29.05,23.75,0.3,4101,13.3
29/01/2016 8:00,19.86,29.15,23.1,0,6838,44.86
30/01/2016 8:00,17.9,26.53,20.97,0,7648,29.81
31/01/2016 8:00,19.02,30.1,23.19,0,7999,54.46
1/02/2016 8:00,20.2,27.38,22.52,0,7999,37.52
2/02/2016 8:00,17.45,25.44,21.27,0,7999,44.41
3/02/2016 8:00,17.01,30.54,22.4,0.6,7660,45.98
4/02/2016 8:00,19.55,25.95,22.11,0,7999,48.59
5/02/2016 8:00,18.87,24.83,21.61,0.4,7999,37.04
6/02/2016 8:00,19.69,23.2,21.11,10.6,7999,16.81
7/02/2016 8:00,20.03,25.92,22.11,8.2,7999,26.28
8/02/2016 8:00,18,26.36,22.14,0,7999,42.14
9/02/2016 8:00,19.35,24.87,21.35,0,7999,27.23
10/02/2016 8:00,16.84,26.53,21.09,0,6811,29.16
11/02/2016 8:00,17.32,28.94,22.57,0.8,6720,36.62
12/02/2016 8:00,15.92,26.33,20.97,0,3726,34.22
13/02/2016 8:00,16.47,30.54,22.55,0,7999,51.24
14/02/2016 8:00,16.43,27.82,21.84,0,7661,47.26
15/02/2016 8:00,18.37,26.63,21.94,1.7,7999,51.65
16/02/2016 8:00,20.47,27.82,22.33,0.3,7999,34.78
17/02/2016 8:00,19.18,24.9,21.08,6.6,7999,27.16
18/02/2016 8:00,19.72,22.74,20.82,19,7999,12.91
19/02/2016 8:00,17.86,25.95,21.46,15.5,71.49,6.579
20/02/2016 8:00,11.31,27.79,18.8,0.1,115.8,16.29
21/02/2016 8:00,13.37,27.52,20.01,0,127.3,19.33
22/02/2016 8:00,15.82,27.07,20.97,0,228.5,17.38
23/02/2016 8:00,18.03,26.63,21.65,0,180.9,14.94
24/02/2016 8:00,13.82,26.43,20.35,0,82.9,19.43
25/02/2016 8:00,12.12,28.77,19.74,0,116.4,16.11
26/02/2016 8:00,13.78,28.2,20.28,0,115.6,20.01
27/02/2016 8:00,15.89,30.78,21.65,0,88,17.8
28/02/2016 8:00,20.16,27.82,22.92,30.5,140.8,12.95
29/02/2016 8:00,21.22,27.11,23.27,1.8,56.34,8.95
1/03/2016 8:00,18.23,22.4,20.23,26.6,68.48,3.579
2/03/2016 8:00,16.57,22.06,19.15,3.5,110.6,6.272
3/03/2016 8:00,14.6,23.44,18.71,0,111.5,10.92
4/03/2016 8:00,13.82,23.44,18.91,0,96.4,15.57
5/03/2016 8:00,13.41,26.39,19.81,0,69.65,14.29
6/03/2016 8:00,12.22,28.3,20.04,0,129.2,18.26
7/03/2016 8:00,17.11,27.55,21.8,0,134.7,14.7
8/03/2016 8:00,17.69,26.87,21.64,0,187.8,11.05
9/03/2016 8:00,17.05,28.54,21.64,1.6,165.9,17.04
10/03/2016 8:00,10.05,26.29,17.71,0,133.7,17.82
11/03/2016 8:00,15.65,27.72,21.28,0.6,148.8,15.59
12/03/2016 8:00,10.36,25.34,17.85,1.2,180.8,10.41
13/03/2016 8:00,10.46,22.73,17.01,0,103.5,15.2
14/03/2016 8:00,9.78,24.7,16.97,0,73.79,17.13
15/03/2016 8:00,11.51,27.07,18.12,0,76.74,16.12
16/03/2016 8:00,15.65,24.83,20.06,0.6,87,13.4
17/03/2016 8:00,15.38,28.94,20.54,0,109.2,12.47
18/03/2016 8:00,17.96,23.68,19.96,3.4,129.2,9.55
19/03/2016 8:00,17.73,23.28,20.16,1.5,213.6,8.46
20/03/2016 8:00,18.36,23.95,20.34,0.6,214.4,14.76
21/03/2016 8:00,15.35,24.12,19.72,1.2,142.4,10.53
22/03/2016 8:00,18.53,24.93,21.05,1.5,210.5,12.35
23/03/2016 8:00,19.96,25.41,21.52,1.9,310.2,11.12
24/03/2016 8:00,20.29,21.79,20.94,10.4,446,2.092
25/03/2016 8:00,17.22,23.17,19.94,0.1,20.03,5.406
26/03/2016 8:00,16.23,26.33,20.36,0,87.2,12.13
27/03/2016 8:00,13.85,25.85,19.35,0,39.37,11.09
28/03/2016 8:00,11.88,27.07,18.19,0,66.51,12.68
29/03/2016 8:00,13.2,24.9,17.88,0.3,69.59,8.8
30/03/2016 8:00,15.48,26.67,19.49,0,130,13.17
31/03/2016 8:00,12.25,26.06,18.35,0,97.7,13.32
1/04/2016 8:00,17.01,22.15,19.26,0,213.4,10.01
2/04/2016 8:00,18.5,21.1,19.36,3.4,182.2,4.173
3/04/2016 8:00,16.4,26.77,20.69,3.4,62.74,10.67
4/04/2016 9:00,13.31,26.87,19.34,2.1,65.96,11.61
